key_1,AC No,PS No,Point,Longitude,Latitide,key
39_12 ,39,12,12 - Fulchari High School,91.64285707,23.07671952,39_12 
39_13 ,39,13,13 - No 1 Satchand S.B. School,91.6427711,23.0769536,39_13 
39_14 ,39,14,14 - Manu Ucchatara Madhyamik Vidyalaya(Purbangsha),91.64481929,23.06622342,39_14 
39_15 ,39,15,15 - Manu Ucchatara Madhyamik Vidyalaya(Pashchimangsha),91.6302832,23.06804298,39_15 
39_16 ,39,16,16 - South Manu Bazar High School,91.63565004,23.05455708,39_16 
39_17 ,39,17,17 - Gobinda Sardar Para Anganwadi Kendra,91.63568005,23.05455809,39_17 
39_18 ,39,18,18 - Kaladhepa High School(N/W),91.63568004,23.05455808,39_18 
39_2 ,39,2,2 - Hawai bari Anganwadi Centre (S/W),91.63094004,23.10890211,39_2 
39_20 ,39,20,20 - Chalitachari Bazar High School (E/W),91.65581835,23.05759772,39_20 
39_21 ,39,21,21 - Chalitachari Bazar High School(W/W),91.65581734,23.05759872,39_21 
39_22 ,39,22,22 - Mog Para J.B. School,91.6557766,23.07245721,39_22 
39_24 ,39,24,24 - 1 No Guachand High School(E/W),91.65558721,23.07248301,39_24 
39_26 ,39,26,26 - Manu Tehsil High School (E/W),91.65568901,23.09892046,39_26 
39_27 ,39,27,27 - Manu Tehsil High School (W/W),91.65664503,23.0998868,39_27 
39_28 ,39,28,28 - Pathai Mog Para S.B. School(E/W),91.66626905,23.09732453,39_28 
39_29 ,39,29,29 - Pathai Mog Para S.B. School (W/W),91.64773972,23.11952639,39_29 
39_3 ,39,3,3 - Gagan Chandra Para S.B. School,91.6276851,23.10280773,39_3 
39_30 ,39,30,30 - Sindhuk Pathar (Kathal Chari) S. B. School,91.64772114,23.11948023,39_30 
39_31 ,39,31,31 - Mairachari High School(E/W),91.64240525,23.10032724,39_31 
39_32 ,39,32,32 - Mairachari High School(W/W),91.64240525,23.10032724,39_32 
39_33 ,39,33,33 - Satchand Ucchatara Madhyamik Vidyalaya(N/W),91.66846475,23.15904788,39_33 
39_34 ,39,34,34 - Satchand Ucchatara Madhyamik Vidyalaya (S/W),91.6434047,23.14577043,39_34 
39_35 ,39,35,35 - South Hichachara High School,91.70248581,23.15328947,39_35 
39_36 ,39,36,36 - Taikumba High School,91.68389204,23.13855022,39_36 
39_38 ,39,38,38 - Gopal Roaja Para High School,91.71989771,23.18002471,39_38 
39_39 ,39,39,39 - No 2 Chalita Bankul High School,91.68940626,23.12202388,39_39 
39_4 ,39,4,4 - No-2 Satchand Senior Basic School,91.61742922,23.10083142,39_4 
39_40 ,39,40,40 - Prasanna Chowdhury Para S.B. School,91.70091342,23.12242949,39_40 
39_41 ,39,41,41 - Bagmara High School,91.68089982,23.11944739,39_41 
39_42 ,39,42,42 - Chalita Bankul Colony H.S. School(E/W),91.70556166,23.11271189,39_42 
39_44 ,39,44,44 - Hajarai Para J.B.School,91.68940626,23.13242949,39_44 
39_45 ,39,45,45 - Joykumar Roaja Para Senior Basic School,91.67044374,23.0875441,39_45 
39_46 ,39,46,46 - Manu Bankul Ucchatara Madhyamik Vidyalaya(E/W),91.69991249,23.08742486,39_46 
39_47 ,39,47,47 - Manu Bankul Ucchatara Madhyamik Vidyalaya (W/W),91.69991248,23.08742485,39_47 
39_48 ,39,48,48 - Garifa Senior Basic School,91.71658915,23.11286885,39_48 
39_49 ,39,49,49 - Farm Chowmuhani J.B. School,91.71989873,23.18002871,39_49 
39_5 ,39,5,5 - Danu Chowdhuri Para Junior Basic School,91.59936658,23.11428799,39_5 
39_50 ,39,50,50 - Dakshin Rupaichari S.B. School,91.70556166,23.08842486,39_50 
39_51 ,39,51,51 - Chatak Chari Ucchatara Madhyamik Vidyalaya,91.69556166,23.11571188,39_51 
39_52 ,39,52,52 - North Bijayapur Senior Basic School,91.68044374,23.08542485,39_52 
39_53 ,39,53,53 - East Sabroom High School(E/W),91.69991248,23.13242949,39_53 
39_54 ,39,54,54 - East Sabroom High  School(W/W),91.69991248,23.13242949,39_54 
39_6 ,39,6,6 - Bhuratali Ucchatara Madhyamik Vidyalaya,91.6186278,23.12855495,39_6 
39_7 ,39,7,7 - Rajkumar Royaja Para Anganwadi Kendra,91.61839768,23.1285768,39_7 
39_8 ,39,8,8 - Gardhang H.S. School(E/W),91.61759659,23.1194456,39_8 
